product_id,name,category,price
1,Combo 3 đôi tất cổ ngắn nam Có Tất Là Có Tất Forever Young chống hôi chân,Tất Nam,159000
9,Combo 4 đôi tất lười nữ Có Tất Là Có Tất Basic Đồng Lúa Trổ Bông chống tụt gót,Tất Nữ,199000
7,Combo 5 đôi tất hoạ tiết nữ Có Tất Là Có Tất Premium Nhí Nhố dễ thương,Tất Nữ,299000
3,Tất Đi Giày Tây cho nam dòng mỏng mịn thoáng chân,Tất Nam,235000
4,Combo tất lười nam Có Tất là Có Tất Starter Noshow chất cotton có silicone chống tụt gót,Tất Nam,169000
10,Combo tất nữ cổ ngắn Có Tất Là Có Tất Basic Rumee Girl màu sắc tươi trẻ,Tất Nữ,295000
8,Combo 2 đôi tất cổ cao nữ Có Tất Là Có Tất Basic Ngộ Nghĩnh phong cách Hàn Quốc,Tất Nữ,129000
5,Combo 3 đôi tất thổ cẩm nam Có Tất Là Có Tất Premium Timber phong cách bụi bặm,Tất Nam,249000
6,Set tất giáng sinh 4 đôi Có Tất Là Có Tất Premium Couple kèm hộp quà tặng,Tất Nữ,329000
2,Combo tất cao cổ nam Có Tất là Có Tất Premium Morden Life chất Cotton phối màu hiện đại,Tất Nam,299000
